"inc_borough","cong_dist","al_source_desc","al_index_desc","highest_al_level","inc_class_group","inc_resp_min_qy","engines_assigned","ladders_assigned","others_units_assigned","emergency_min_qy","day_type","working_hour","time_of_day","tua_is_one"
"Manhattan","13","CLASS-3","Initial Alarm","First Alarm","NonM_E",6.11666666666667,1,1,1,31.1166666666667,"Weekday","TRUE","Afternoon","FALSE"
"Brooklyn","8","PHONE","Initial Alarm","First Alarm","NonM_E",8.03333333333333,0,1,0,7.95,"Weekday","TRUE","Afternoon","TRUE"
"Manhattan","12","CLASS-3","Initial Alarm","First Alarm","NonM_E",7.86666666666667,1,1,1,19.9333333333333,"Weekday","TRUE","Afternoon","FALSE"
"Queens","6","EMS","Initial Alarm","First Alarm","M_E",6.23333333333333,1,0,0,3.88333333333333,"Weekday","TRUE","Afternoon","TRUE"
"Bronx","15","CLASS-3","Initial Alarm","First Alarm","NonM_E",4.18333333333333,1,2,1,13.6166666666667,"Weekday","TRUE","Afternoon","FALSE"
"Queens","5","PHONE","Initial Alarm","First Alarm","NonM_E",6.21666666666667,0,1,0,9.38333333333333,"Weekday","TRUE","Afternoon","TRUE"
"Brooklyn","9","CLASS-3","Initial Alarm","First Alarm","NonM_E",6.18333333333333,1,1,1,18.8,"Weekday","TRUE","Afternoon","FALSE"
"Manhattan","13","PHONE","Initial Alarm","First Alarm","NonM_E",4.41666666666667,2,1,1,24.1666666666667,"Weekday","TRUE","Afternoon","FALSE"
"Brooklyn","8","PHONE","Initial Alarm","First Alarm","NonM_E",3.21666666666667,3,2,1,15.3166666666667,"Weekday","TRUE","Afternoon","FALSE"
"Staten Island","11","PHONE","Initial Alarm","First Alarm","NonM_E",5,1,1,0,33.0666666666667,"Weekday","TRUE","Afternoon","FALSE"
"Brooklyn","8","PHONE","Initial Alarm","First Alarm","NonM_E",3.15,1,1,0,6.5,"Weekday","TRUE","Afternoon","FALSE"
"Manhattan","13","CLASS-3","Initial Alarm","First Alarm","NonM_E",4.43333333333333,1,1,1,16.35,"Weekday","TRUE","Afternoon","FALSE"
"Manhattan","12","PHONE","Initial Alarm","First Alarm","NonM_E",9.51666666666667,0,1,0,3.95,"Weekday","TRUE","Afternoon","TRUE"
"Queens","6","EMS","DEFAULT RECORD","First Alarm","M_E",4.18333333333333,1,0,0,7.3,"Weekday","TRUE","Afternoon","TRUE"
"Bronx","15","PHONE","Initial Alarm","First Alarm","NonM_E",6.58333333333333,0,1,0,4.96666666666667,"Weekday","TRUE","Afternoon","TRUE"
"Bronx","15","CLASS-3","Others","First Alarm","S_F",5.85,6,6,15,92.0833333333333,"Weekday","TRUE","Afternoon","FALSE"
"Bronx","15","EMS","Initial Alarm","First Alarm","M_E",9.06666666666667,1,0,0,2.81666666666667,"Weekday","TRUE","Afternoon","TRUE"
"Manhattan","12","EMS","Initial Alarm","First Alarm","M_E",7.5,1,0,0,48.9166666666667,"Weekday","TRUE","Afternoon","TRUE"
"Manhattan","10","PHONE","Initial Alarm","First Alarm","NonM_E",3.56666666666667,3,2,4,129.4,"Weekday","TRUE","Afternoon","FALSE"
"Bronx","14","PHONE","Initial Alarm","First Alarm","NonM_E",4.58333333333333,2,2,1,20.3,"Weekday","TRUE","Afternoon","FALSE"
"Manhattan","10","EMS","Initial Alarm","First Alarm","M_E",1.6,1,0,0,10.7,"Weekday","TRUE","Afternoon","TRUE"
"Brooklyn","10","PHONE","Initial Alarm","First Alarm","NonM_E",4.16666666666667,0,1,0,13.7166666666667,"Weekday","TRUE","Afternoon","TRUE"
"Brooklyn","8","EMS","Initial Alarm","First Alarm","NonM_E",5.16666666666667,1,1,0,4.78333333333333,"Weekday","TRUE","Afternoon","FALSE"
"Bronx","14","EMS-911","Initial Alarm","First Alarm","NonM_E",33.8833333333333,2,0,0,21.3333333333333,"Weekday","TRUE","Afternoon","FALSE"
"Bronx","15","Others","DEFAULT RECORD","First Alarm","NonM_MFAs",4.75,0,2,3,0.983333333333333,"Weekday","TRUE","Afternoon","FALSE"
"Manhattan","13","EMS-911","DEFAULT RECORD","First Alarm","M_E",6.68333333333333,1,1,0,1.63333333333333,"Weekday","TRUE","Afternoon","FALSE"
"Brooklyn","10","CLASS-3","Initial Alarm","First Alarm","NonM_E",2.43333333333333,3,2,1,1.73333333333333,"Weekday","TRUE","Afternoon","FALSE"
"Brooklyn","8","CLASS-3","Initial Alarm","First Alarm","NonM_E",4.93333333333333,3,2,1,12.2,"Weekday","TRUE","Afternoon","FALSE"
"Queens","6","PHONE","Initial Alarm","First Alarm","NonM_E",5.51666666666667,2,2,1,19.9666666666667,"Weekday","TRUE","Afternoon","FALSE"
"Bronx","15","EMS-911","DEFAULT RECORD","First Alarm","M_E",5.3,1,0,0,3.81666666666667,"Weekday","TRUE","Afternoon","TRUE"
"Queens","5","CLASS-3","Initial Alarm","First Alarm","NonM_E",6.25,1,1,1,12.1333333333333,"Weekday","TRUE","Afternoon","FALSE"
"Manhattan","13","PHONE","Others","First Alarm","S_F",2.28333333333333,4,4,9,152.883333333333,"Weekday","TRUE","Afternoon","FALSE"
"Brooklyn","8","PHONE","Initial Alarm","First Alarm","NonM_E",6.51666666666667,0,1,0,23.8666666666667,"Weekday","TRUE","Afternoon","TRUE"
"Manhattan","13","EMS-911","Initial Alarm","First Alarm","M_E",3.2,1,0,0,8.2,"Weekday","TRUE","Afternoon","TRUE"
"Manhattan","10","CLASS-3","Initial Alarm","First Alarm","NonM_E",6.85,1,0,1,7.6,"Weekday","TRUE","Afternoon","FALSE"
"Brooklyn","9","CLASS-3","Initial Alarm","First Alarm","NonM_E",4.26666666666667,1,1,0,9.63333333333333,"Weekday","TRUE","Afternoon","FALSE"
"Manhattan","12","EMS-911","Initial Alarm","First Alarm","M_E",2.91666666666667,1,0,0,6.48333333333333,"Weekday","TRUE","Afternoon","TRUE"
"Brooklyn","8","PHONE","Initial Alarm","First Alarm","NonM_E",3.71666666666667,1,1,0,12.0333333333333,"Weekday","TRUE","Afternoon","FALSE"
"Manhattan","10","CLASS-3","Initial Alarm","First Alarm","NonM_E",5.73333333333333,1,1,0,16.05,"Weekday","TRUE","Afternoon","FALSE"
"Queens","14","EMS","Initial Alarm","First Alarm","M_E",8.48333333333333,1,0,0,18.5,"Weekday","TRUE","Afternoon","TRUE"
"Queens","5","EMS","Initial Alarm","First Alarm","M_E",6.76666666666667,0,0,1,12.4333333333333,"Weekday","TRUE","Afternoon","TRUE"
"Bronx","13","PHONE","Initial Alarm","First Alarm","NonM_E",4.73333333333333,1,1,1,8.41666666666667,"Weekday","TRUE","Afternoon","FALSE"
"Brooklyn","8","PHONE","Initial Alarm","First Alarm","NonM_E",3.26666666666667,1,1,0,1.73333333333333,"Weekday","TRUE","Afternoon","FALSE"
"Brooklyn","9","EMS","Initial Alarm","First Alarm","M_E",4.78333333333333,1,0,0,4.43333333333333,"Weekday","TRUE","Afternoon","TRUE"
"Queens","3","EMS-911","Initial Alarm","First Alarm","NonM_E",15.9666666666667,0,1,0,1.8,"Weekday","TRUE","Afternoon","TRUE"
"Queens","5","EMS","Initial Alarm","First Alarm","M_E",4.5,1,0,0,4.85,"Weekday","TRUE","Afternoon","TRUE"
"Manhattan","10","EMS","Initial Alarm","First Alarm","M_E",5.5,1,0,0,13.2666666666667,"Weekday","TRUE","Afternoon","TRUE"
"Queens","5","EMS-911","Initial Alarm","First Alarm","M_E",5.01666666666667,1,0,0,12.6833333333333,"Weekday","TRUE","Afternoon","TRUE"
"Brooklyn","11","EMS","DEFAULT RECORD","First Alarm","M_E",5.13333333333333,1,0,0,6.36666666666667,"Weekday","TRUE","Afternoon","TRUE"
"Queens","6","CLASS-3","Initial Alarm","First Alarm","NonM_E",6.23333333333333,3,2,1,19.85,"Weekday","TRUE","Afternoon","FALSE"
